# Output from hector version 2.5.0
run_name,Year,Ca,Ftot
rcp26,1746,276.09,0
rcp26,1747,276.091,0
rcp26,1748,276.092,0
rcp26,1749,276.094,0
rcp26,1750,276.095,0
rcp26,1751,276.096,-0.00053132
rcp26,1752,276.098,-0.00103209
rcp26,1753,276.099,-0.00150913
rcp26,1754,276.1,-0.00196729
rcp26,1755,276.101,-0.00241015
rcp26,1756,276.102,-0.00284049
rcp26,1757,276.103,-0.00326051
rcp26,1758,276.103,-0.00367216
rcp26,1759,276.104,-0.00407722
rcp26,1760,276.104,-0.00447731
rcp26,1761,276.105,-0.00487377
rcp26,1762,276.105,-0.00526774
rcp26,1763,276.105,-0.00566022
rcp26,1764,276.105,-0.00605214
rcp26,1765,276.105,-0.0064443
rcp26,1766,276.105,0.109738
rcp26,1767,276.107,0.225853
rcp26,1768,276.122,0.191114
rcp26,1769,276.157,0.1262
rcp26,1770,276.195,0.12268
rcp26,1771,276.227,0.175979
rcp26,1772,276.258,0.211794
rcp26,1773,276.294,0.225904
rcp26,1774,276.338,0.231441
rcp26,1775,276.386,0.232722
rcp26,1776,276.437,0.23408
rcp26,1777,276.489,0.235493
rcp26,1778,276.542,0.236951
rcp26,1779,276.596,0.238445
rcp26,1780,276.651,0.23997
rcp26,1781,276.706,0.241524
rcp26,1782,276.763,0.221237
rcp26,1783,276.821,0.130981
rcp26,1784,276.877,0.0582028
rcp26,1785,276.923,0.116491
rcp26,1786,276.958,0.205196
rcp26,1787,276.996,0.241462
rcp26,1788,277.045,0.247336
rcp26,1789,277.103,0.144005
rcp26,1790,277.165,-0.00301335
rcp26,1791,277.216,0.0335283
rcp26,1792,277.248,0.165952
rcp26,1793,277.277,0.232698
rcp26,1794,277.32,0.242851
rcp26,1795,277.377,0.222636
rcp26,1796,277.439,0.220021
rcp26,1797,277.499,0.243639
rcp26,1798,277.559,0.26287
rcp26,1799,277.621,0.269022
rcp26,1800,277.686,0.270851
rcp26,1801,277.752,0.272709
rcp26,1802,277.818,0.274581
rcp26,1803,277.885,0.276471
rcp26,1804,277.953,0.278371
rcp26,1805,278.02,0.280269
rcp26,1806,278.087,0.28217
rcp26,1807,278.154,0.28408
rcp26,1808,278.222,-0.203998
rcp26,1809,278.29,-1.34395
rcp26,1810,278.306,-1.74549
rcp26,1811,278.184,-0.955335
rcp26,1812,277.98,-0.289233
rcp26,1813,277.822,-0.099115
rcp26,1814,277.755,-0.629104
